hełdekołim	-	-	V;IMP;SG	imperative_jussive;sg;acc1pl
hełdekołim	-	-	V;IMP;SG	imperative_jussive;sg;acc1sg
hełdekołim	-	-	V;IMP;SG	imperative_jussive;sg;acc2pl
hełdekołim	-	-	V;IMP;SG	imperative_jussive;sg;acc2sg
hełdekołim	-	-	V;IMP;SG	imperative_jussive;sg;acc3pl
hełdekołim	-	-	V;IMP;SG	imperative_jussive;sg;acc3sg
hełdekołim	-	-	V;IMP;SG	imperative_jussive;sg;erg1pl
hełdekołim	-	-	V;IMP;SG	imperative_jussive;sg;erg1sg
hełdekołim	-	-	V;IMP;SG	imperative_jussive;sg;erg2pl
hełdekołim	-	-	V;IMP;SG	imperative_jussive;sg;erg2sg
hełdekołim	-	-	V;IMP;SG	imperative_jussive;sg;erg3pl
hełdekołim	-	-	V;IMP;SG	imperative_jussive;sg;erg3sg
hełdekołim	-	-	V;IMP;SG	imperative_jussive;sg;noclitic_marking
hełdekołim	-	-	V;IMP;PL	imperative_jussive;pl;acc1pl
hełdekołim	-	-	V;IMP;PL	imperative_jussive;pl;acc1sg
hełdekołim	-	-	V;IMP;PL	imperative_jussive;pl;acc2pl
hełdekołim	-	-	V;IMP;PL	imperative_jussive;pl;acc2sg
hełdekołim	-	-	V;IMP;PL	imperative_jussive;pl;acc3pl
hełdekołim	-	-	V;IMP;PL	imperative_jussive;pl;acc3sg
hełdekołim	-	-	V;IMP;PL	imperative_jussive;pl;erg1pl
hełdekołim	-	-	V;IMP;PL	imperative_jussive;pl;erg1sg
hełdekołim	-	-	V;IMP;PL	imperative_jussive;pl;erg2pl
hełdekołim	-	-	V;IMP;PL	imperative_jussive;pl;erg2sg
hełdekołim	-	-	V;IMP;PL	imperative_jussive;pl;erg3pl
hełdekołim	-	-	V;IMP;PL	imperative_jussive;pl;erg3sg
hełdekołim	-	-	V;IMP;PL	imperative_jussive;pl;noclitic_marking
hełdekołim	-	-	V;IND;PASS	indicative;passive
hełdekołim	-	-	V;IND;PRS;IPFV	indicative;novoice;pres;imperfective
hełdekołim	-	-	V;IND;PRS;PRF	indicative;novoice;pres;perfect;abs1pl;acc3sg
hełdekołim	-	-	V;IND;PRS;PRF	indicative;novoice;pres;perfect;abs1pl;erg1sg
hełdekołim	-	-	V;IND;PRS;PRF	indicative;novoice;pres;perfect;abs1pl;erg1pl
hełdekołim	-	-	V;IND;PRS;PRF	indicative;novoice;pres;perfect;abs1pl;erg2sg
hełdekołim	-	-	V;IND;PRS;PRF	indicative;novoice;pres;perfect;abs1pl;erg2pl
hełdekołim	-	-	V;IND;PRS;PRF	indicative;novoice;pres;perfect;abs1pl;erg3sg
hełdekołim	-	-	V;IND;PRS;PRF	indicative;novoice;pres;perfect;abs1pl;erg3pl
hełdekołim	-	-	V;IND;PRS;PRF	indicative;novoice;pres;perfect;abs1pl;acc1sg
hełdekołim	-	-	V;IND;PRS;PRF	indicative;novoice;pres;perfect;abs1pl;acc1pl
hełdekołim	-	-	V;IND;PRS;PRF	indicative;novoice;pres;perfect;abs1pl;acc2sg
hełdekołim	-	-	V;IND;PRS;PRF	indicative;novoice;pres;perfect;abs1pl;acc2pl
hełdekołim	-	-	V;IND;PRS;PRF	indicative;novoice;pres;perfect;abs1pl;acc3pl
hełdekołim	-	-	V;IND;PRS;PRF	indicative;novoice;pres;perfect;abs1sg;acc3sg
hełdekołim	-	-	V;IND;PRS;PRF	indicative;novoice;pres;perfect;abs1sg;erg1sg
hełdekołim	-	-	V;IND;PRS;PRF	indicative;novoice;pres;perfect;abs1sg;erg1pl
hełdekołim	-	-	V;IND;PRS;PRF	indicative;novoice;pres;perfect;abs1sg;erg2sg
hełdekołim	-	-	V;IND;PRS;PRF	indicative;novoice;pres;perfect;abs1sg;erg2pl
hełdekołim	-	-	V;IND;PRS;PRF	indicative;novoice;pres;perfect;abs1sg;erg3sg
hełdekołim	-	-	V;IND;PRS;PRF	indicative;novoice;pres;perfect;abs1sg;erg3pl
hełdekołim	-	-	V;IND;PRS;PRF	indicative;novoice;pres;perfect;abs1sg;acc1sg
hełdekołim	-	-	V;IND;PRS;PRF	indicative;novoice;pres;perfect;abs1sg;acc1pl
